block number	start	end	num blocks
1	593064	598559	3
1	1302827	1308029	3
1	5810394	5815596	3
1	5713900	5719207	3
1	5569729	5574946	3
1	5528703	5533919	3
1	4848126	4853433	3
10	2718487	2724981	2
10	3435009	3441503	2
10	4160574	4166700	2
12	5552199	5569663	3
13	2669362	2693350	2
13	3466640	3490629	2
15	695830	707756	3
16	1677809	1692847	3
17	2742915	2836528	2
17	3323718	3417075	2
19	5317825	5325103	3
20	5298357	5304967	3
21	4946813	4952344	3
22	4166817	4173612	2
23	46494	54773	3
24	558507	582048	3
25	3410	13817	3
26	3568823	3574310	3
27	5351249	5356778	3
28	5533950	5552198	2
29	4421597	4622361	2
30	5719209	5810377	2
31	582389	593006	2
32	3133079	3219245	2
35	4839779	4848125	2
36	5504685	5527700	2
37	5421693	5450130	2
38	1474471	1549864	2
39	5574948	5713792	2
40	1334193	1463237	2
41	2959480	2966290	2
42	5304968	5317812	2
43	5325104	5351248	2
46	2931684	2959379	2
47	4025141	4152529	2
48	368713	386304	2
49	2503670	2619545	2
50	3538637	3568822	2
51	5080351	5141850	2
52	707757	1301243	2
53	1917862	2050812	2
54	4952389	5080350	2
56	2354489	2500286	2
57	3574311	3605654	2
58	5372150	5400615	2
60	4853436	4946766	2
61	2978473	2983665	2
63	34606	46493	2
64	598577	695829	2
65	5356779	5365149	2
67	2325866	2353895	2
68	2067356	2085938	2
69	3607411	3623399	2
70	5162280	5295101	2
71	3861645	3942869	2
72	3769470	3811758	2
73	5450680	5504347	2
74	1692848	1864072	2
75	288804	345513	2
76	1616413	1677781	2
77	5815646	5831209	2
78	2163140	2174056	2
79	4193944	4203598	2
81	3944437	3965825	2
82	386837	558498	2
83	4622387	4639517	2
84	1308030	1334192	2
85	2983666	3133078	2
87	54774	93064	2
88	4203599	4350517	2
89	174182	288575	2
90	345673	354772	2
91	4352412	4405349	2
93	2233418	2325018	2
94	4784048	4807075	2
